jumlah_kk,jumlah_pen,kepadatan_,nama_kab_s,nama_kec_s,nama_prop_
1437,5188,64.2,ACEH SELATAN,BAKONGAN,ACEH
6581,23398,315.89,ACEH SELATAN,KLUET UTARA,ACEH
4072,13972,78.32,ACEH SELATAN,KLUET SELATAN,ACEH
3865,13470,241.79,ACEH SELATAN,LABUHAN HAJI,ACEH
6177,20973,43.87,ACEH SELATAN,MEUKEK,ACEH
4864,16229,149.14,ACEH SELATAN,SAMADUA,ACEH
4716,15796,82.98,ACEH SELATAN,SAWANG,ACEH
7120,23791,226.78,ACEH SELATAN,TAPAKTUAN,ACEH
1517,5442,7.19,ACEH SELATAN,TRUMON,ACEH
5172,17784,157.91,ACEH SELATAN,PASI RAJA,ACEH
3031,10260,102.35,ACEH SELATAN,LABUHAN HAJI TIMUR,ACEH
5244,17659,229.43,ACEH SELATAN,LABUHAN HAJI BARAT,ACEH
2618,8818,10.63,ACEH SELATAN,KLUET TENGAH,ACEH
3016,10366,30.45,ACEH SELATAN,KLUET TIMUR,ACEH
1751,6114,136.56,ACEH SELATAN,BAKONGAN TIMUR,ACEH
2164,7952,26.45,ACEH SELATAN,TRUMON TIMUR,ACEH
1925,6699,25.31,ACEH SELATAN,KOTA BAHAGIA,ACEH
1717,6343,48.35,ACEH SELATAN,TRUMON TENGAH,ACEH
3998,15701,477.09,ACEH TENGGARA,LAWE ALAS,ACEH
5338,21169,269.77,ACEH TENGGARA,LAWE SIGALA-GALA,ACEH
5135,18649,250.79,ACEH TENGGARA,BAMBEL,ACEH
8245,30338,2951.17,ACEH TENGGARA,BABUSSALAM,ACEH
3879,14540,132.93,ACEH TENGGARA,BADAR,ACEH
3948,15394,217.4,ACEH TENGGARA,BABUL MAKMUR,ACEH
3645,14187,9.43,ACEH TENGGARA,DARUL HASANAH,ACEH
4634,16933,495.84,ACEH TENGGARA,LAWE BULAN,ACEH
3256,12007,637.65,ACEH TENGGARA,BUKIT TUSAM,ACEH
3734,13612,705.28,ACEH TENGGARA,SEMADAM,ACEH
2356,9266,12.04,ACEH TENGGARA,BABUL RAHMAH,ACEH
